Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
license,The license under which the data associated with the access requirement is shared. Equivalent to DUOPlus6.,"CC0, CC_BY, CC_BY_NC, CC_BY_ND, CC_BY_SA, CC_BY_NC_ND, CC_BY_NC_SA, Apache_2, MIT, GPL_3, BSD_3_Clause",,,,,string_list,,,,,,
attribution,The attribution statement for the data associated with the access requirement. Equivalent to DUOPlus7.,,,,,,string,,,,,,
USE,This data use modifier indicates that use is limited to use by approved users.,,userSpecificRestriction,,DUO:0000026,,string,,,,,,
COL,This data use modifier indicates that the requestor must agree to collaboration with the primary study investigator(s).,,collaborationRequired,,DUO:0000020,,string,,,,,,
RST,This data use modifier indicates that use is limited to studies of a certain research type.,,researchSpecificRestrictions,,DUO:0000012,,string,,,,,,
TSM,This data use modifier indicates that use is approved for a specific number of months.,,timeLimitOnUse,,DUO:0000025,,string,,,,,,
MOR,This data use modifier indicates that requestor agrees not to publish results of studies until a specific date.,,publicationMoratorium,,DUO:0000024,,string,,,,,,
IST,This data use modifier indicates that use is limited to use within an approved institution.,,institutionSpecificRestriction,,DUO:0000028,,string,,,,,,
GSR,This data use modifier indicates that use is limited to within a specific geographic region.,,geographicalRestriction,,DUO:0000022,,string,,,,,,
DSR,This data use permission indicates that use is allowed provided it is related to the specified disease.,,diseaseSpecificResearch,,DUO:0000007,,string,,,,,,
DUOPlus1,Source geography is relevant to governance decisions.,,sourceGeography,,,,string,,,,,,
DUOPlus2,Study population is relevant to governance decisions.,,populationType,,,,string,,,,,,
DUOPlus3,Data deidentification is relevant to governance decisions.,,deidentificationType,,,,string,,,,,,
DUOPlus4,A data permission designation is associated with the Study.,,dataPermission,,,,string,,,,,,
DUOPlus5,A data tier designation is associated with the Study.,,dataTier,,,,string,,,,,,
DUOPlus6,A license is associated with the Study.,,license,,,,string,,,,,,
DUOPlus7,Attribution conditions are associated with this Study.,,attribution,,,,string,,,,,,
